ID;Campanha;Extrato_Campanha;Variavel_Campanha;Niveis_Campanha;Percentual_Campanha
343;Cheia 2017;Area Urbana-2;Formas do Abastecimento de Agua;Poco;24.6
344;Cheia 2017;Area Urbana-2;Formas do Abastecimento de Agua;Rio;0
345;Cheia 2017;Area Urbana-2;Formas do Abastecimento de Agua;Nascente;0
346;Cheia 2017;Area Urbana-2;Formas do Abastecimento de Agua;Rede Geral;73.8
347;Cheia 2017;Area Urbana-2;Formas do Abastecimento de Agua;Igarape;0
348;Cheia 2017;Area Urbana-2;Formas do Abastecimento de Agua;Outros;1.5
349;Seca 2017;Area Urbana-2;Formas do Abastecimento de Agua;Poco;32.3
350;Seca 2017;Area Urbana-2;Formas do Abastecimento de Agua;Rio;0
351;Seca 2017;Area Urbana-2;Formas do Abastecimento de Agua;Nascente;0
352;Seca 2017;Area Urbana-2;Formas do Abastecimento de Agua;Rede Geral;38.5
353;Seca 2017;Area Urbana-2;Formas do Abastecimento de Agua;Igarape;0
354;Seca 2017;Area Urbana-2;Formas do Abastecimento de Agua;Outros;0
355;Cheia 2018;Area Urbana-2;Formas do Abastecimento de Agua;Poco;29.2
356;Cheia 2018;Area Urbana-2;Formas do Abastecimento de Agua;Rio;0
357;Cheia 2018;Area Urbana-2;Formas do Abastecimento de Agua;Nascente;0
358;Cheia 2018;Area Urbana-2;Formas do Abastecimento de Agua;Rede Geral;70.8
359;Cheia 2018;Area Urbana-2;Formas do Abastecimento de Agua;Igarape;0
360;Cheia 2018;Area Urbana-2;Formas do Abastecimento de Agua;Outros;0
361;Seca 2018;Area Urbana-2;Formas do Abastecimento de Agua;Poco;16.4
362;Seca 2018;Area Urbana-2;Formas do Abastecimento de Agua;Rio;0
363;Seca 2018;Area Urbana-2;Formas do Abastecimento de Agua;Nascente;0
364;Seca 2018;Area Urbana-2;Formas do Abastecimento de Agua;Rede Geral;80.6
365;Seca 2018;Area Urbana-2;Formas do Abastecimento de Agua;Igarape;0
366;Seca 2018;Area Urbana-2;Formas do Abastecimento de Agua;Outros;1.5
367;Cheia 2019;Area Urbana-2;Formas do Abastecimento de Agua;Poco;19.4
368;Cheia 2019;Area Urbana-2;Formas do Abastecimento de Agua;Rio;0
369;Cheia 2019;Area Urbana-2;Formas do Abastecimento de Agua;Nascente;0
370;Cheia 2019;Area Urbana-2;Formas do Abastecimento de Agua;Rede Geral;68.7
371;Cheia 2019;Area Urbana-2;Formas do Abastecimento de Agua;Igarape;0
372;Cheia 2019;Area Urbana-2;Formas do Abastecimento de Agua;Outros;4.5
373;Seca 2019;Area Urbana-2;Formas do Abastecimento de Agua;Poco;33.3
374;Seca 2019;Area Urbana-2;Formas do Abastecimento de Agua;Rio;0
375;Seca 2019;Area Urbana-2;Formas do Abastecimento de Agua;Nascente;0
376;Seca 2019;Area Urbana-2;Formas do Abastecimento de Agua;Rede Geral;46.2
377;Seca 2019;Area Urbana-2;Formas do Abastecimento de Agua;Igarape;0
378;Seca 2019;Area Urbana-2;Formas do Abastecimento de Agua;Outros;0
379;Seca 2020;Area Urbana-2;Formas do Abastecimento de Agua;Poco;25.5
380;Seca 2020;Area Urbana-2;Formas do Abastecimento de Agua;Rio;0
381;Seca 2020;Area Urbana-2;Formas do Abastecimento de Agua;Nascente;0
382;Seca 2020;Area Urbana-2;Formas do Abastecimento de Agua;Rede Geral;56.4
383;Seca 2020;Area Urbana-2;Formas do Abastecimento de Agua;Igarape;0
384;Seca 2020;Area Urbana-2;Formas do Abastecimento de Agua;Outros;0
385;Seca 2012;Area Rural-1;Avaliacao do Abastecimento de Agua;Houve Alteracao;45
386;Cheia 2013;Area Rural-1;Avaliacao do Abastecimento de Agua;Houve Alteracao;47.1
387;Seca 2013;Area Rural-1;Avaliacao do Abastecimento de Agua;Houve Alteracao;45.2
388;Cheia 2014;Area Rural-1;Avaliacao do Abastecimento de Agua;Houve Alteracao;30.6
389;Seca 2014;Area Rural-1;Avaliacao do Abastecimento de Agua;Houve Alteracao;30.8
390;Cheia 2015;Area Rural-1;Avaliacao do Abastecimento de Agua;Houve Alteracao;26.2
391;Seca 2015;Area Rural-1;Avaliacao do Abastecimento de Agua;Houve Alteracao;52.6
392;Cheia 2016;Area Rural-1;Avaliacao do Abastecimento de Agua;Houve Alteracao;45.7
393;Seca 2016;Area Rural-1;Avaliacao do Abastecimento de Agua;Houve Alteracao;64.4
394;Cheia 2017;Area Rural-1;Avaliacao do Abastecimento de Agua;Houve Alteracao;58.3
395;Seca 2017;Area Rural-1;Avaliacao do Abastecimento de Agua;Houve Alteracao;71.4
396;Cheia 2018;Area Rural-1;Avaliacao do Abastecimento de Agua;Houve Alteracao;0
397;Seca 2018;Area Rural-1;Avaliacao do Abastecimento de Agua;Houve Alteracao;34.1
398;Cheia 2019;Area Rural-1;Avaliacao do Abastecimento de Agua;Houve Alteracao;0
399;Seca 2019;Area Rural-1;Avaliacao do Abastecimento de Agua;Houve Alteracao;0
400;Seca 2020;Area Rural-1;Avaliacao do Abastecimento de Agua;Houve Alteracao;0
401;Seca 2012;Area Rural-2;Avaliacao do Abastecimento de Agua;Houve Alteracao;30.4
402;Cheia 2013;Area Rural-2;Avaliacao do Abastecimento de Agua;Houve Alteracao;42.9
403;Seca 2013;Area Rural-2;Avaliacao do Abastecimento de Agua;Houve Alteracao;19.6
404;Cheia 2014;Area Rural-2;Avaliacao do Abastecimento de Agua;Houve Alteracao;33.3
405;Seca 2014;Area Rural-2;Avaliacao do Abastecimento de Agua;Houve Alteracao;28
406;Cheia 2015;Area Rural-2;Avaliacao do Abastecimento de Agua;Houve Alteracao;41.9
407;Seca 2015;Area Rural-2;Avaliacao do Abastecimento de Agua;Houve Alteracao;63.6
408;Cheia 2016;Area Rural-2;Avaliacao do Abastecimento de Agua;Houve Alteracao;76.6
409;Seca 2016;Area Rural-2;Avaliacao do Abastecimento de Agua;Houve Alteracao;38.7
410;Cheia 2017;Area Rural-2;Avaliacao do Abastecimento de Agua;Houve Alteracao;31.1
411;Seca 2017;Area Rural-2;Avaliacao do Abastecimento de Agua;Houve Alteracao;85.1
412;Cheia 2018;Area Rural-2;Avaliacao do Abastecimento de Agua;Houve Alteracao;0
413;Seca 2018;Area Rural-2;Avaliacao do Abastecimento de Agua;Houve Alteracao;29.3
414;Cheia 2019;Area Rural-2;Avaliacao do Abastecimento de Agua;Houve Alteracao;0
415;Seca 2019;Area Rural-2;Avaliacao do Abastecimento de Agua;Houve Alteracao;0
416;Seca 2020;Area Rural-2;Avaliacao do Abastecimento de Agua;Houve Alteracao;0
417;Seca 2012;Area Urbana-1;Avaliacao do Abastecimento de Agua;Houve Alteracao;61.1
418;Cheia 2013;Area Urbana-1;Avaliacao do Abastecimento de Agua;Houve Alteracao;36.7
419;Seca 2013;Area Urbana-1;Avaliacao do Abastecimento de Agua;Houve Alteracao;23.9
420;Cheia 2014;Area Urbana-1;Avaliacao do Abastecimento de Agua;Houve Alteracao;20
421;Seca 2014;Area Urbana-1;Avaliacao do Abastecimento de Agua;Houve Alteracao;7.3
422;Cheia 2015;Area Urbana-1;Avaliacao do Abastecimento de Agua;Houve Alteracao;8.6
423;Seca 2015;Area Urbana-1;Avaliacao do Abastecimento de Agua;Houve Alteracao;20.5
424;Cheia 2016;Area Urbana-1;Avaliacao do Abastecimento de Agua;Houve Alteracao;31.9
425;Seca 2016;Area Urbana-1;Avaliacao do Abastecimento de Agua;Houve Alteracao;54.2
426;Cheia 2017;Area Urbana-1;Avaliacao do Abastecimento de Agua;Houve Alteracao;20.4
427;Seca 2017;Area Urbana-1;Avaliacao do Abastecimento de Agua;Houve Alteracao;57.1
428;Cheia 2018;Area Urbana-1;Avaliacao do Abastecimento de Agua;Houve Alteracao;0
429;Seca 2018;Area Urbana-1;Avaliacao do Abastecimento de Agua;Houve Alteracao;14.5
430;Cheia 2019;Area Urbana-1;Avaliacao do Abastecimento de Agua;Houve Alteracao;5.1
431;Seca 2019;Area Urbana-1;Avaliacao do Abastecimento de Agua;Houve Alteracao;9.8
432;Seca 2020;Area Urbana-1;Avaliacao do Abastecimento de Agua;Houve Alteracao;49.2
433;Seca 2012;Area Urbana-2;Avaliacao do Abastecimento de Agua;Houve Alteracao;51.1
434;Cheia 2013;Area Urbana-2;Avaliacao do Abastecimento de Agua;Houve Alteracao;21.9
435;Seca 2013;Area Urbana-2;Avaliacao do Abastecimento de Agua;Houve Alteracao;56.7
436;Cheia 2014;Area Urbana-2;Avaliacao do Abastecimento de Agua;Houve Alteracao;34.7
437;Seca 2014;Area Urbana-2;Avaliacao do Abastecimento de Agua;Houve Alteracao;47.1
438;Cheia 2015;Area Urbana-2;Avaliacao do Abastecimento de Agua;Houve Alteracao;32.4
439;Seca 2015;Area Urbana-2;Avaliacao do Abastecimento de Agua;Houve Alteracao;56
440;Cheia 2016;Area Urbana-2;Avaliacao do Abastecimento de Agua;Houve Alteracao;48
441;Seca 2016;Area Urbana-2;Avaliacao do Abastecimento de Agua;Houve Alteracao;43.1
442;Cheia 2017;Area Urbana-2;Avaliacao do Abastecimento de Agua;Houve Alteracao;47.7
443;Seca 2017;Area Urbana-2;Avaliacao do Abastecimento de Agua;Houve Alteracao;50.8
444;Cheia 2018;Area Urbana-2;Avaliacao do Abastecimento de Agua;Houve Alteracao;30.8
445;Seca 2018;Area Urbana-2;Avaliacao do Abastecimento de Agua;Houve Alteracao;95.5
446;Cheia 2019;Area Urbana-2;Avaliacao do Abastecimento de Agua;Houve Alteracao;41.8
447;Seca 2019;Area Urbana-2;Avaliacao do Abastecimento de Agua;Houve Alteracao;17.9
448;Seca 2020;Area Urbana-2;Avaliacao do Abastecimento de Agua;Houve Alteracao;52.7
449;Seca 2012;Area Rural-1;Destino do Lixo;Queimado;90
450;Seca 2012;Area Rural-1;Destino do Lixo;Coletado Servico de Limpeza;0
451;Seca 2012;Area Rural-1;Destino do Lixo;Enterrado;15
452;Seca 2012;Area Rural-1;Destino do Lixo;Joagado Ceu Aberto;0
453;Seca 2012;Area Rural-1;Destino do Lixo;Outro;0
454;Cheia 2013;Area Rural-1;Destino do Lixo;Queimado;80.4
455;Cheia 2013;Area Rural-1;Destino do Lixo;Coletado Servico de Limpeza;0
456;Cheia 2013;Area Rural-1;Destino do Lixo;Enterrado;15.7
457;Cheia 2013;Area Rural-1;Destino do Lixo;Joagado Ceu Aberto;19.6
458;Cheia 2013;Area Rural-1;Destino do Lixo;Outro;0
459;Seca 2013;Area Rural-1;Destino do Lixo;Queimado;90.5
460;Seca 2013;Area Rural-1;Destino do Lixo;Coletado Servico de Limpeza;4.8
461;Seca 2013;Area Rural-1;Destino do Lixo;Enterrado;4.8
462;Seca 2013;Area Rural-1;Destino do Lixo;Joagado Ceu Aberto;2.4
463;Seca 2013;Area Rural-1;Destino do Lixo;Outro;0
464;Cheia 2014;Area Rural-1;Destino do Lixo;Queimado;83.7
465;Cheia 2014;Area Rural-1;Destino do Lixo;Coletado Servico de Limpeza;2
466;Cheia 2014;Area Rural-1;Destino do Lixo;Enterrado;4.1
467;Cheia 2014;Area Rural-1;Destino do Lixo;Joagado Ceu Aberto;12.2
468;Cheia 2014;Area Rural-1;Destino do Lixo;Outro;0
469;Seca 2014;Area Rural-1;Destino do Lixo;Queimado;97.4
470;Seca 2014;Area Rural-1;Destino do Lixo;Coletado Servico de Limpeza;0
471;Seca 2014;Area Rural-1;Destino do Lixo;Enterrado;5.1
472;Seca 2014;Area Rural-1;Destino do Lixo;Joagado Ceu Aberto;12.8
473;Seca 2014;Area Rural-1;Destino do Lixo;Outro;0
474;Cheia 2015;Area Rural-1;Destino do Lixo;Queimado;88.1
475;Cheia 2015;Area Rural-1;Destino do Lixo;Coletado Servico de Limpeza;2.4
476;Cheia 2015;Area Rural-1;Destino do Lixo;Enterrado;23.8
477;Cheia 2015;Area Rural-1;Destino do Lixo;Joagado Ceu Aberto;2.4
478;Cheia 2015;Area Rural-1;Destino do Lixo;Outro;2.4
479;Seca 2015;Area Rural-1;Destino do Lixo;Queimado;92.1
480;Seca 2015;Area Rural-1;Destino do Lixo;Coletado Servico de Limpeza;0
481;Seca 2015;Area Rural-1;Destino do Lixo;Enterrado;13.2
482;Seca 2015;Area Rural-1;Destino do Lixo;Joagado Ceu Aberto;5.3
483;Seca 2015;Area Rural-1;Destino do Lixo;Outro;0
484;Cheia 2016;Area Rural-1;Destino do Lixo;Queimado;97.1
485;Cheia 2016;Area Rural-1;Destino do Lixo;Coletado Servico de Limpeza;0
486;Cheia 2016;Area Rural-1;Destino do Lixo;Enterrado;14.3
487;Cheia 2016;Area Rural-1;Destino do Lixo;Joagado Ceu Aberto;8.6
488;Cheia 2016;Area Rural-1;Destino do Lixo;Outro;0
489;Seca 2016;Area Rural-1;Destino do Lixo;Queimado;97.8
490;Seca 2016;Area Rural-1;Destino do Lixo;Coletado Servico de Limpeza;0
491;Seca 2016;Area Rural-1;Destino do Lixo;Enterrado;0
492;Seca 2016;Area Rural-1;Destino do Lixo;Joagado Ceu Aberto;2.2
493;Seca 2016;Area Rural-1;Destino do Lixo;Outro;0
494;Cheia 2017;Area Rural-1;Destino do Lixo;Queimado;97.2
495;Cheia 2017;Area Rural-1;Destino do Lixo;Coletado Servico de Limpeza;5.6
496;Cheia 2017;Area Rural-1;Destino do Lixo;Enterrado;11.1
497;Cheia 2017;Area Rural-1;Destino do Lixo;Joagado Ceu Aberto;0
498;Cheia 2017;Area Rural-1;Destino do Lixo;Outro;0
499;Seca 2017;Area Rural-1;Destino do Lixo;Queimado;97.1
500;Seca 2017;Area Rural-1;Destino do Lixo;Coletado Servico de Limpeza;0
501;Seca 2017;Area Rural-1;Destino do Lixo;Enterrado;2.9
502;Seca 2017;Area Rural-1;Destino do Lixo;Joagado Ceu Aberto;0
503;Seca 2017;Area Rural-1;Destino do Lixo;Outro;0
504;Cheia 2018;Area Rural-1;Destino do Lixo;Queimado;97.4
505;Cheia 2018;Area Rural-1;Destino do Lixo;Coletado Servico de Limpeza;2.6
506;Cheia 2018;Area Rural-1;Destino do Lixo;Enterrado;2.6
507;Cheia 2018;Area Rural-1;Destino do Lixo;Joagado Ceu Aberto;0
508;Cheia 2018;Area Rural-1;Destino do Lixo;Outro;0
509;Seca 2018;Area Rural-1;Destino do Lixo;Queimado;88.6
510;Seca 2018;Area Rural-1;Destino do Lixo;Coletado Servico de Limpeza;0
511;Seca 2018;Area Rural-1;Destino do Lixo;Enterrado;9.1
512;Seca 2018;Area Rural-1;Destino do Lixo;Joagado Ceu Aberto;13.6
513;Seca 2018;Area Rural-1;Destino do Lixo;Outro;0
514;Cheia 2019;Area Rural-1;Destino do Lixo;Queimado;100
515;Cheia 2019;Area Rural-1;Destino do Lixo;Coletado Servico de Limpeza;0
516;Cheia 2019;Area Rural-1;Destino do Lixo;Enterrado;0
517;Cheia 2019;Area Rural-1;Destino do Lixo;Joagado Ceu Aberto;2.9
518;Cheia 2019;Area Rural-1;Destino do Lixo;Outro;0
519;Seca 2019;Area Rural-1;Destino do Lixo;Queimado;97.8
520;Seca 2019;Area Rural-1;Destino do Lixo;Coletado Servico de Limpeza;0
521;Seca 2019;Area Rural-1;Destino do Lixo;Enterrado;2.2
522;Seca 2019;Area Rural-1;Destino do Lixo;Joagado Ceu Aberto;0
523;Seca 2019;Area Rural-1;Destino do Lixo;Outro;0
524;Seca 2020;Area Rural-1;Destino do Lixo;Queimado;91.9
525;Seca 2020;Area Rural-1;Destino do Lixo;Coletado Servico de Limpeza;0
526;Seca 2020;Area Rural-1;Destino do Lixo;Enterrado;2.7
527;Seca 2020;Area Rural-1;Destino do Lixo;Joagado Ceu Aberto;0
528;Seca 2020;Area Rural-1;Destino do Lixo;Outro;0
529;Seca 2012;Area Rural-2;Destino do Lixo;Queimado;91.3
530;Seca 2012;Area Rural-2;Destino do Lixo;Coletado Servico de Limpeza;0
531;Seca 2012;Area Rural-2;Destino do Lixo;Enterrado;4.3
532;Seca 2012;Area Rural-2;Destino do Lixo;Joagado Ceu Aberto;4.3
533;Seca 2012;Area Rural-2;Destino do Lixo;Outro;0
534;Cheia 2013;Area Rural-2;Destino do Lixo;Queimado;82.1
535;Cheia 2013;Area Rural-2;Destino do Lixo;Coletado Servico de Limpeza;3.6
536;Cheia 2013;Area Rural-2;Destino do Lixo;Enterrado;14.3
537;Cheia 2013;Area Rural-2;Destino do Lixo;Joagado Ceu Aberto;14.3
538;Cheia 2013;Area Rural-2;Destino do Lixo;Outro;0
539;Seca 2013;Area Rural-2;Destino do Lixo;Queimado;78.3
540;Seca 2013;Area Rural-2;Destino do Lixo;Coletado Servico de Limpeza;2.2
541;Seca 2013;Area Rural-2;Destino do Lixo;Enterrado;26.1
542;Seca 2013;Area Rural-2;Destino do Lixo;Joagado Ceu Aberto;8.7
543;Seca 2013;Area Rural-2;Destino do Lixo;Outro;0
544;Cheia 2014;Area Rural-2;Destino do Lixo;Queimado;83.3
545;Cheia 2014;Area Rural-2;Destino do Lixo;Coletado Servico de Limpeza;5.6
546;Cheia 2014;Area Rural-2;Destino do Lixo;Enterrado;11.1
547;Cheia 2014;Area Rural-2;Destino do Lixo;Joagado Ceu Aberto;13.9
548;Cheia 2014;Area Rural-2;Destino do Lixo;Outro;0
549;Seca 2014;Area Rural-2;Destino do Lixo;Queimado;94
550;Seca 2014;Area Rural-2;Destino do Lixo;Coletado Servico de Limpeza;0
551;Seca 2014;Area Rural-2;Destino do Lixo;Enterrado;10
552;Seca 2014;Area Rural-2;Destino do Lixo;Joagado Ceu Aberto;10
553;Seca 2014;Area Rural-2;Destino do Lixo;Outro;0
554;Cheia 2015;Area Rural-2;Destino do Lixo;Queimado;90.7
555;Cheia 2015;Area Rural-2;Destino do Lixo;Coletado Servico de Limpeza;0
556;Cheia 2015;Area Rural-2;Destino do Lixo;Enterrado;14
557;Cheia 2015;Area Rural-2;Destino do Lixo;Joagado Ceu Aberto;9.3
558;Cheia 2015;Area Rural-2;Destino do Lixo;Outro;0
559;Seca 2015;Area Rural-2;Destino do Lixo;Queimado;93.2
560;Seca 2015;Area Rural-2;Destino do Lixo;Coletado Servico de Limpeza;0
561;Seca 2015;Area Rural-2;Destino do Lixo;Enterrado;9.1
562;Seca 2015;Area Rural-2;Destino do Lixo;Joagado Ceu Aberto;9.1
563;Seca 2015;Area Rural-2;Destino do Lixo;Outro;0
564;Cheia 2016;Area Rural-2;Destino do Lixo;Queimado;97.9
565;Cheia 2016;Area Rural-2;Destino do Lixo;Coletado Servico de Limpeza;0
566;Cheia 2016;Area Rural-2;Destino do Lixo;Enterrado;4.3
567;Cheia 2016;Area Rural-2;Destino do Lixo;Joagado Ceu Aberto;6.4
568;Cheia 2016;Area Rural-2;Destino do Lixo;Outro;0
569;Seca 2016;Area Rural-2;Destino do Lixo;Queimado;96.8
570;Seca 2016;Area Rural-2;Destino do Lixo;Coletado Servico de Limpeza;0
571;Seca 2016;Area Rural-2;Destino do Lixo;Enterrado;6.5
572;Seca 2016;Area Rural-2;Destino do Lixo;Joagado Ceu Aberto;3.2
573;Seca 2016;Area Rural-2;Destino do Lixo;Outro;0
574;Cheia 2017;Area Rural-2;Destino do Lixo;Queimado;97.8
575;Cheia 2017;Area Rural-2;Destino do Lixo;Coletado Servico de Limpeza;0
576;Cheia 2017;Area Rural-2;Destino do Lixo;Enterrado;2.2
577;Cheia 2017;Area Rural-2;Destino do Lixo;Joagado Ceu Aberto;4.4
578;Cheia 2017;Area Rural-2;Destino do Lixo;Outro;0
579;Seca 2017;Area Rural-2;Destino do Lixo;Queimado;95.7
580;Seca 2017;Area Rural-2;Destino do Lixo;Coletado Servico de Limpeza;0
581;Seca 2017;Area Rural-2;Destino do Lixo;Enterrado;2.1
582;Seca 2017;Area Rural-2;Destino do Lixo;Joagado Ceu Aberto;4.3
583;Seca 2017;Area Rural-2;Destino do Lixo;Outro;0
584;Cheia 2018;Area Rural-2;Destino do Lixo;Queimado;100
585;Cheia 2018;Area Rural-2;Destino do Lixo;Coletado Servico de Limpeza;0
586;Cheia 2018;Area Rural-2;Destino do Lixo;Enterrado;2.3
587;Cheia 2018;Area Rural-2;Destino do Lixo;Joagado Ceu Aberto;2.3
588;Cheia 2018;Area Rural-2;Destino do Lixo;Outro;0
589;Seca 2018;Area Rural-2;Destino do Lixo;Queimado;97.6
590;Seca 2018;Area Rural-2;Destino do Lixo;Coletado Servico de Limpeza;0
591;Seca 2018;Area Rural-2;Destino do Lixo;Enterrado;4.9
592;Seca 2018;Area Rural-2;Destino do Lixo;Joagado Ceu Aberto;2.4
593;Seca 2018;Area Rural-2;Destino do Lixo;Outro;0
594;Cheia 2019;Area Rural-2;Destino do Lixo;Queimado;100
595;Cheia 2019;Area Rural-2;Destino do Lixo;Coletado Servico de Limpeza;0
596;Cheia 2019;Area Rural-2;Destino do Lixo;Enterrado;5.7
597;Cheia 2019;Area Rural-2;Destino do Lixo;Joagado Ceu Aberto;5.7
598;Cheia 2019;Area Rural-2;Destino do Lixo;Outro;0
599;Seca 2019;Area Rural-2;Destino do Lixo;Queimado;96.3
600;Seca 2019;Area Rural-2;Destino do Lixo;Coletado Servico de Limpeza;0
601;Seca 2019;Area Rural-2;Destino do Lixo;Enterrado;1.9
602;Seca 2019;Area Rural-2;Destino do Lixo;Joagado Ceu Aberto;11.1
603;Seca 2019;Area Rural-2;Destino do Lixo;Outro;0
604;Seca 2020;Area Rural-2;Destino do Lixo;Queimado;87.8
605;Seca 2020;Area Rural-2;Destino do Lixo;Coletado Servico de Limpeza;0
606;Seca 2020;Area Rural-2;Destino do Lixo;Enterrado;2
607;Seca 2020;Area Rural-2;Destino do Lixo;Joagado Ceu Aberto;0
608;Seca 2020;Area Rural-2;Destino do Lixo;Outro;0
609;Seca 2012;Area Urbana-1;Destino do Lixo;Queimado;92.6
610;Seca 2012;Area Urbana-1;Destino do Lixo;Coletado Servico de Limpeza;3.7
611;Seca 2012;Area Urbana-1;Destino do Lixo;Enterrado;3.7
612;Seca 2012;Area Urbana-1;Destino do Lixo;Joagado Ceu Aberto;1.9
613;Seca 2012;Area Urbana-1;Destino do Lixo;Outro;0
614;Cheia 2013;Area Urbana-1;Destino do Lixo;Queimado;67.3
615;Cheia 2013;Area Urbana-1;Destino do Lixo;Coletado Servico de Limpeza;18.4
616;Cheia 2013;Area Urbana-1;Destino do Lixo;Enterrado;0
617;Cheia 2013;Area Urbana-1;Destino do Lixo;Joagado Ceu Aberto;14.3
618;Cheia 2013;Area Urbana-1;Destino do Lixo;Outro;4.1
619;Seca 2013;Area Urbana-1;Destino do Lixo;Queimado;78.3
620;Seca 2013;Area Urbana-1;Destino do Lixo;Coletado Servico de Limpeza;8.7
621;Seca 2013;Area Urbana-1;Destino do Lixo;Enterrado;2.2
622;Seca 2013;Area Urbana-1;Destino do Lixo;Joagado Ceu Aberto;10.9
623;Seca 2013;Area Urbana-1;Destino do Lixo;Outro;2.2
624;Cheia 2014;Area Urbana-1;Destino do Lixo;Queimado;82.2
625;Cheia 2014;Area Urbana-1;Destino do Lixo;Coletado Servico de Limpeza;11.1
626;Cheia 2014;Area Urbana-1;Destino do Lixo;Enterrado;2.2
627;Cheia 2014;Area Urbana-1;Destino do Lixo;Joagado Ceu Aberto;2.2
628;Cheia 2014;Area Urbana-1;Destino do Lixo;Outro;6.7
629;Seca 2014;Area Urbana-1;Destino do Lixo;Queimado;56.1
630;Seca 2014;Area Urbana-1;Destino do Lixo;Coletado Servico de Limpeza;43.9
631;Seca 2014;Area Urbana-1;Destino do Lixo;Enterrado;0
632;Seca 2014;Area Urbana-1;Destino do Lixo;Joagado Ceu Aberto;4.9
633;Seca 2014;Area Urbana-1;Destino do Lixo;Outro;4.9
634;Cheia 2015;Area Urbana-1;Destino do Lixo;Queimado;54.3
635;Cheia 2015;Area Urbana-1;Destino do Lixo;Coletado Servico de Limpeza;51.4
636;Cheia 2015;Area Urbana-1;Destino do Lixo;Enterrado;5.7
637;Cheia 2015;Area Urbana-1;Destino do Lixo;Joagado Ceu Aberto;0
638;Cheia 2015;Area Urbana-1;Destino do Lixo;Outro;5.7
639;Seca 2015;Area Urbana-1;Destino do Lixo;Queimado;70.5
640;Seca 2015;Area Urbana-1;Destino do Lixo;Coletado Servico de Limpeza;25
641;Seca 2015;Area Urbana-1;Destino do Lixo;Enterrado;2.3
642;Seca 2015;Area Urbana-1;Destino do Lixo;Joagado Ceu Aberto;2.3
643;Seca 2015;Area Urbana-1;Destino do Lixo;Outro;6.8
644;Cheia 2016;Area Urbana-1;Destino do Lixo;Queimado;93.6
645;Cheia 2016;Area Urbana-1;Destino do Lixo;Coletado Servico de Limpeza;4.3
646;Cheia 2016;Area Urbana-1;Destino do Lixo;Enterrado;2.1
647;Cheia 2016;Area Urbana-1;Destino do Lixo;Joagado Ceu Aberto;0
648;Cheia 2016;Area Urbana-1;Destino do Lixo;Outro;4.3
649;Seca 2016;Area Urbana-1;Destino do Lixo;Queimado;93.2
650;Seca 2016;Area Urbana-1;Destino do Lixo;Coletado Servico de Limpeza;3.4
651;Seca 2016;Area Urbana-1;Destino do Lixo;Enterrado;1.7
652;Seca 2016;Area Urbana-1;Destino do Lixo;Joagado Ceu Aberto;3.4
653;Seca 2016;Area Urbana-1;Destino do Lixo;Outro;0
654;Cheia 2017;Area Urbana-1;Destino do Lixo;Queimado;88.9
655;Cheia 2017;Area Urbana-1;Destino do Lixo;Coletado Servico de Limpeza;3.7
656;Cheia 2017;Area Urbana-1;Destino do Lixo;Enterrado;7.4
657;Cheia 2017;Area Urbana-1;Destino do Lixo;Joagado Ceu Aberto;3.7
658;Cheia 2017;Area Urbana-1;Destino do Lixo;Outro;3.7
659;Seca 2017;Area Urbana-1;Destino do Lixo;Queimado;91.1
660;Seca 2017;Area Urbana-1;Destino do Lixo;Coletado Servico de Limpeza;7.1
661;Seca 2017;Area Urbana-1;Destino do Lixo;Enterrado;1.8
662;Seca 2017;Area Urbana-1;Destino do Lixo;Joagado Ceu Aberto;3.6
663;Seca 2017;Area Urbana-1;Destino do Lixo;Outro;0
664;Cheia 2018;Area Urbana-1;Destino do Lixo;Queimado;92.7
665;Cheia 2018;Area Urbana-1;Destino do Lixo;Coletado Servico de Limpeza;5.5
666;Cheia 2018;Area Urbana-1;Destino do Lixo;Enterrado;1.8
667;Cheia 2018;Area Urbana-1;Destino do Lixo;Joagado Ceu Aberto;1.8
668;Cheia 2018;Area Urbana-1;Destino do Lixo;Outro;0
669;Seca 2018;Area Urbana-1;Destino do Lixo;Queimado;72.7
670;Seca 2018;Area Urbana-1;Destino do Lixo;Coletado Servico de Limpeza;20
671;Seca 2018;Area Urbana-1;Destino do Lixo;Enterrado;0
672;Seca 2018;Area Urbana-1;Destino do Lixo;Joagado Ceu Aberto;7.3
673;Seca 2018;Area Urbana-1;Destino do Lixo;Outro;0
674;Cheia 2019;Area Urbana-1;Destino do Lixo;Queimado;84.7
675;Cheia 2019;Area Urbana-1;Destino do Lixo;Coletado Servico de Limpeza;22
676;Cheia 2019;Area Urbana-1;Destino do Lixo;Enterrado;1.7
677;Cheia 2019;Area Urbana-1;Destino do Lixo;Joagado Ceu Aberto;3.4
678;Cheia 2019;Area Urbana-1;Destino do Lixo;Outro;0
679;Seca 2019;Area Urbana-1;Destino do Lixo;Queimado;80.3
680;Seca 2019;Area Urbana-1;Destino do Lixo;Coletado Servico de Limpeza;21.3
681;Seca 2019;Area Urbana-1;Destino do Lixo;Enterrado;0
682;Seca 2019;Area Urbana-1;Destino do Lixo;Joagado Ceu Aberto;0
683;Seca 2019;Area Urbana-1;Destino do Lixo;Outro;0
684;Seca 2020;Area Urbana-1;Destino do Lixo;Queimado;88.5
685;Seca 2020;Area Urbana-1;Destino do Lixo;Coletado Servico de Limpeza;18
